date,open,high,low,close,volume,amount,outstanding_share,turnover
2011/1/26,210.25,215.58,210.25,214.8,5359757,103115968,826928499,0.006481524105749801
2011/1/27,214.58,217.91,211.02,216.58,8588195,166569792,826928499,0.010385656088024123
2011/1/28,216.69,220.46,216.35,218.69,5461293,107336104,826928499,0.006604311021574793
2011/1/31,218.69,223.24,216.58,221.24,7579740,150515232,826928499,0.009166137107580808
2011/2/1,222.02,226.02,221.35,225.57,6729706,135753312,826928499,0.008138195754697288
2011/2/9,222.13,229.9,221.57,226.13,9442547,193692768,826928499,0.011418819174110965
2011/2/10,227.46,232.9,224.35,230.46,6348161,131045832,826928499,0.007676795524252454
2011/2/11,230.46,231.24,227.68,228.68,6173115,127480256,826928499,0.007465113377353802
2011/2/14,229.02,234.35,228.46,232.13,9165798,190756368,826928499,0.011084148159223135
2011/2/15,232.13,237.35,228.24,231.57,14052348,293436064,826928499,0.0169934256915724
2011/2/16,230.13,232.68,226.91,229.24,11350354,233733344,826928499,0.01372591948847563
2011/2/17,228.79,230.68,224.13,225.91,8994125,183247600,826928499,0.010876544962323278
2011/2/18,226.02,227.68,222.24,226.68,9856692,199909904,826928499,0.011919642401875909
2011/2/21,226.46,229.02,223.68,228.57,8757206,178599392,826928499,0.01059004014324097
2011/2/22,228.79,229.35,222.35,222.8,8156344,165223424,826928499,0.009863421093677894
2011/2/23,223.24,228.79,223.24,228.02,8080344,164750400,826928499,0.009771514719557391
2011/2/24,230.13,234.79,229.46,233.57,11386087,237850832,826928499,0.013769131205139418
2011/2/25,234.9,234.9,230.13,233.9,10401102,218412352,826928499,0.01257799436417779
2011/2/28,234.57,238.23,233.46,236.01,13813005,293007936,826928499,0.016703989542873405
2011/3/1,236.79,244.12,234.9,241.23,16623065,359442496,826928499,0.02010217935420315
2011/3/2,241.01,245.45,239.57,242.01,14705970,320676896,826928499,0.01778384711348544
2011/3/3,241.12,243.01,231.13,231.9,11347624,240725248,826928499,0.013722618114773669
2011/3/4,232.24,234.9,229.02,233.24,5917456,123612256,826928499,0.007155946381284411
2011/3/7,234.12,235.79,228.57,230.79,14181632,293768352,826928499,0.017149768108306544
2011/3/8,229.9,230.01,225.46,228.68,15040229,308016224,826928499,0.018188064649105776
2011/3/9,229.35,233.01,226.02,227.46,21179752,435050144,826928499,0.025612555409098313
2011/3/10,228.02,231.79,227.24,231.24,16483214,342069184,826928499,0.019933058323583063
2011/3/11,232.13,239.9,232.13,235.24,29414212,629087296,826928499,0.03557044174383933
2011/3/14,237.57,243.45,233.35,242.45,32325744,695408384,826928499,0.039091341076152704
2011/3/15,242.45,242.68,232.68,239.9,17616200,376878496,826928499,0.021303171944494805
2011/3/16,239.12,239.34,235.57,237.35,10905097,232838560,826928499,0.013187472693452303
2011/3/17,236.01,237.12,233.01,233.79,12266701,259140704,826928499,0.01483405278066248
2011/3/18,234.24,236.57,231.01,232.57,8719999,183200224,826928499,0.010545045926637001
2011/3/21,232.68,235.12,225.57,226.68,13270555,273244096,826928499,0.016048007797588314
2011/3/22,227.24,228.02,220.02,223.02,12734756,255304992,826928499,0.015400069069333163
2011/3/23,223.35,225.46,220.57,222.8,18858842,377911232,826928499,0.022805891951729676
2011/3/24,223.02,226.57,221.91,225.46,14830285,299919968,826928499,0.017934180546364264
2011/3/25,226.02,226.02,221.02,223.24,22366190,447544448,826928499,0.02704730823408228
2011/3/28,222.91,222.91,216.58,217.58,25884298,510729216,826928499,0.03130173652413931
2011/3/29,217.46,219.35,213.24,213.91,15804935,307105120,826928499,0.019112819329739898
2011/3/30,214.35,215.35,211.02,212.02,11363630,218356352,826928499,0.013741974080881205
2011/3/31,212.8,217.69,212.8,217.13,11401915,221168656,826928499,0.013788271916844409
2011/4/1,218.02,219.69,215.13,216.8,10877480,212457328,826928499,0.013154075610109067
2011/4/6,220.13,220.57,213.58,215.35,14491805,283364352,826928499,0.017524858579097056
2011/4/7,215.47,218.46,214.13,218.13,10568784,206549104,826928499,0.012780771267141925
2011/4/8,218.58,221.24,216.47,221.13,11000528,217795536,826928499,0.013302876866987747
2011/4/11,221.46,221.91,218.24,218.35,10373847,205318000,826928499,0.012545035045406024
2011/4/12,217.69,219.35,215.47,216.47,8662969,169187120,826928499,0.010476079867214735
2011/4/13,218.69,224.02,217.46,223.8,21987722,438664160,826928499,0.02658962900249493
2011/4/14,224.91,234.35,224.68,231.24,42487904,881793856,826928499,0.051380384218684426
2011/4/15,231.13,234.57,228.24,234.35,26215632,547794112,826928499,0.0317024168736504
2011/4/18,234.46,237.57,232.13,235.12,25473816,538755136,826928499,0.0308053429417481
2011/4/19,234.24,237.23,227.9,234.24,19890728,418717984,826928499,0.024053745909173217
2011/4/20,234.12,241.45,233.79,241.23,26419520,567293632,826928499,0.03194897748952778
2011/4/21,244.23,244.23,235.57,238.46,27183276,588042560,826928499,0.0328725833404854
2011/4/22,238.34,241.01,236.57,239.46,16374358,351865504,826928499,0.019801419372776994
2011/4/25,238.79,238.79,230.46,232.57,12250839,257996640,826928499,0.014814870952948013
2011/4/26,232.68,234.9,224.24,229.13,15820161,325358432,826928499,0.0191312320462183
2011/4/27,228.9,232.68,226.46,227.24,9455265,195538992,826928499,0.011434198980243393
2011/4/28,227.79,229.68,215.8,218.13,13074912,262064896,826928499,0.01581141781400861
2011/4/29,218.13,222.02,218.13,221.24,8167904,162358096,826928499,0.009877400536899382
2011/5/6,227.68,232.68,221.57,225.13,31717270,645368064,826928499,0.038355516877644824
2011/5/9,224.68,229.46,220.02,226.46,15172179,307439104,826928499,0.018347631044700517
2011/5/10,225.24,225.24,221.91,223.35,10518522,210992608,826928499,0.012719989712193968
2011/5/11,222.8,225.57,222.02,223.13,10420739,209764096,826928499,0.012601741278238375
2011/5/12,222.13,224.68,218.58,218.91,10877138,217280528,826928499,0.013153662031425525
2011/5/13,219.46,221.02,215.8,220.57,9783946,191769984,826928499,0.011831671071721039
2011/5/16,221.57,225.35,220.57,222.8,11593897,233087536,826928499,0.014020434673639177
2011/5/17,222.57,222.8,218.8,221.13,8782572,174493888,826928499,0.010620715104898084
2011/5/18,218.8,218.8,211.91,213.91,26422220,509401856,826928499,0.031952242584397855
2011/5/19,215.02,215.69,212.47,213.24,14744796,283677536,826928499,0.017830799177717058
2011/5/20,213.8,215.35,207.25,215.02,32350204,615509120,826928499,0.03912092041708675
2011/5/23,215.24,217.13,211.02,212.02,19001076,366047360,826928499,0.022977894730896196
2011/5/24,209.91,211.69,207.69,210.02,7267918,137147856,826928499,0.008789052510330762
